Schema Version,Order of entry,Record Type,Session Label,Session ID,Metadata Field,Metadata Value,Event,Date,Location,Chair,Vice-Chair,Secretary,Treasurer,Arranger(s),Chaplain(s),Memorial Lesson Leader,Book,Edition Code,Leader(s),Canonical Leader(s),Page,Song,Tag,Notes,Marker,Timestamp ISO,Time entered,Series Code,Event ID,Previous Event ID,Status
5,1,session,,bfw2023a,,,The Original B.F. White Sacred Harp Singing Convention (J.L. White Revision),2023-09-17,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,,,,,,,,,,2026-08-28T15:00:59.000Z,3:00 PM,k3j9m2p7,k3j9m2p7-2023-09-17,k3j9m2p7-2022-09-18,
5,2,song,,bfw2023a,,,The Original B.F. White Sacred Harp Singing Convention (J.L. White Revision),2023-09-17,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,John Plunkett,,59,Holy Manna,,"Called the class to order, welcoming each one present. Opening prayer offered by Oscar McGuire.",,2026-08-28T15:02:18.000Z,3:02 PM,k3j9m2p7,k3j9m2p7-2023-09-17,k3j9m2p7-2022-09-18,
5,3,song,,bfw2023a,,,The Original B.F. White Sacred Harp Singing Convention (J.L. White Revision),2023-09-17,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,John Plunkett,,284t,Rockingham,,"Led as chairman, following the opening prayer.",,2026-08-28T15:03:21.000Z,3:03 PM,k3j9m2p7,k3j9m2p7-2023-09-17,k3j9m2p7-2022-09-18,
5,4,song,,bfw2023a,,,The Original B.F. White Sacred Harp Singing Convention (J.L. White Revision),2023-09-17,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Russell Hanson,,72b,Bellevue,,,,2026-08-28T15:04:50.000Z,3:04 PM,k3j9m2p7,k3j9m2p7-2023-09-17,k3j9m2p7-2022-09-18,
5,5,song,,bfw2023a,,,The Original B.F. White Sacred Harp Singing Convention (J.L. White Revision),2023-09-17,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Russell Hanson,,61,Sweet Rivers,,,,2026-08-28T15:05:49.000Z,3:05 PM,k3j9m2p7,k3j9m2p7-2023-09-17,k3j9m2p7-2022-09-18,
5,6,song,,bfw2023a,,,The Original B.F. White Sacred Harp Singing Convention (J.L. White Revision),2023-09-17,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Sandra Wilkinson,,444t,The Gospel Pool,,,,2026-08-28T15:06:44.000Z,3:06 PM,k3j9m2p7,k3j9m2p7-2023-09-17,k3j9m2p7-2022-09-18,
5,7,song,,bfw2023a,,,The Original B.F. White Sacred Harp Singing Convention (J.L. White Revision),2023-09-17,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Sandra Wilkinson,,442t,Blooming Youth,,,,2026-08-28T15:07:58.000Z,3:07 PM,k3j9m2p7,k3j9m2p7-2023-09-17,k3j9m2p7-2022-09-18,
5,8,song,,bfw2023a,,,The Original B.F. White Sacred Harp Singing Convention (J.L. White Revision),2023-09-17,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Oscar McGuire,,293b,St. Thomas,,,,2026-08-28T15:09:09.000Z,3:09 PM,k3j9m2p7,k3j9m2p7-2023-09-17,k3j9m2p7-2022-09-18,
5,9,song,,bfw2023a,,,The Original B.F. White Sacred Harp Singing Convention (J.L. White Revision),2023-09-17,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Oscar McGuire,,37b,Liverpool,,,,2026-08-28T15:10:43.000Z,3:10 PM,k3j9m2p7,k3j9m2p7-2023-09-17,k3j9m2p7-2022-09-18,
5,10,song,,bfw2023a,,,The Original B.F. White Sacred Harp Singing Convention (J.L. White Revision),2023-09-17,"Hardeman Primitive Baptist Church, Decatur, Georgia",John Plunkett,Russell Hanson,Sandra Wilkinson,,,,Sandra Wilkinson,SHW2007,SHW2007,Helen Bryson,,490b,All-Saints,,,,2026-08-28T15:11:39.000Z,3:11 PM,k3j9m2p7,k3j9m2p7-2023-09-17,k3j9m2p7-2022-09-18,
